datetime,close,high,low,open,volume
2024-11-08 14:30:00+00:00,424.98919677734375,426.0,424.3800048828125,425.39599609375,632220
2024-11-08 14:32:00+00:00,426.2300109863281,426.5,424.92498779296875,425.0249938964844,112076
2024-11-08 14:34:00+00:00,425.4200134277344,426.19000244140625,424.7099914550781,426.19000244140625,148356
2024-11-08 14:36:00+00:00,426.1098937988281,426.1499938964844,425.1499938964844,425.372802734375,155015
2024-11-08 14:38:00+00:00,425.8800048828125,426.239990234375,425.6199951171875,426.07501220703125,90270
2024-11-08 14:40:00+00:00,425.3500061035156,425.9049987792969,425.2699890136719,425.78009033203125,82193
2024-11-08 14:42:00+00:00,425.17999267578125,425.6400146484375,425.1499938964844,425.3893127441406,76630
2024-11-08 14:44:00+00:00,424.6123046875,425.6499938964844,424.6099853515625,425.1400146484375,129722
2024-11-08 14:46:00+00:00,424.6099853515625,424.7200012207031,424.4800109863281,424.6288146972656,26818
2024-11-08 14:48:00+00:00,425.3599853515625,425.5,424.69500732421875,425.1400146484375,187906
2024-11-08 14:50:00+00:00,425.80999755859375,425.8500061035156,425.4175109863281,425.4700012207031,31208
2024-11-08 14:52:00+00:00,425.8399963378906,425.9100036621094,425.739990234375,425.79998779296875,105796
2024-11-08 14:54:00+00:00,425.9200134277344,426.19000244140625,425.80999755859375,425.80999755859375,107580
2024-11-08 14:56:00+00:00,425.8299865722656,426.1289978027344,425.6000061035156,425.9200134277344,72148
2024-11-08 14:58:00+00:00,426.1499938964844,426.30999755859375,425.6700134277344,425.7300109863281,65529
2024-11-08 15:00:00+00:00,426.4200134277344,426.5,426.0400085449219,426.239990234375,116784
2024-11-08 15:02:00+00:00,425.8699951171875,426.4649963378906,425.7200012207031,426.2799987792969,106964
2024-11-08 15:04:00+00:00,425.07000732421875,425.82000732421875,424.95001220703125,425.82000732421875,93000
2024-11-08 15:06:00+00:00,425.0799865722656,425.29998779296875,424.9700012207031,425.034912109375,79915
2024-11-08 15:08:00+00:00,424.8500061035156,425.1499938964844,424.8299865722656,425.0780029296875,101196
2024-11-08 15:10:00+00:00,424.6199951171875,424.9700012207031,424.45001220703125,424.8500061035156,78490
2024-11-08 15:12:00+00:00,424.7900085449219,424.7900085449219,424.4700012207031,424.6199951171875,64200
2024-11-08 15:14:00+00:00,424.3901062011719,424.8999938964844,424.19000244140625,424.7699890136719,114555
2024-11-08 15:16:00+00:00,424.8500061035156,424.9159851074219,424.3299865722656,424.4549865722656,69546
2024-11-08 15:18:00+00:00,424.92999267578125,424.9797058105469,424.6099853515625,424.8399963378906,59739
2024-11-08 15:20:00+00:00,425.2250061035156,425.42999267578125,424.8450012207031,424.8999938964844,104068
2024-11-08 15:22:00+00:00,424.760009765625,425.2799987792969,424.6401062011719,425.2250061035156,43865
2024-11-08 15:24:00+00:00,424.32000732421875,424.7099914550781,424.17999267578125,424.67999267578125,69869
2024-11-08 15:26:00+00:00,424.0150146484375,424.4798889160156,423.8800048828125,424.2799987792969,93043
2024-11-08 15:28:00+00:00,424.1499938964844,424.2900085449219,424.0,424.04998779296875,56595
2024-11-08 15:30:00+00:00,423.9549865722656,424.2698974609375,423.79998779296875,424.17999267578125,68569
2024-11-08 15:32:00+00:00,423.875,424.0150146484375,423.75,423.989990234375,57977
2024-11-08 15:34:00+00:00,423.4100036621094,423.90679931640625,423.3399963378906,423.90679931640625,66405
2024-11-08 15:36:00+00:00,423.42999267578125,423.510009765625,423.2900085449219,423.42999267578125,70006
2024-11-08 15:38:00+00:00,423.6099853515625,423.6099853515625,423.1400146484375,423.4049987792969,64891
2024-11-08 15:40:00+00:00,423.57000732421875,423.5899963378906,423.1199951171875,423.5799865722656,60213
2024-11-08 15:42:00+00:00,423.8699951171875,423.92999267578125,423.4200134277344,423.6499938964844,62506
2024-11-08 15:44:00+00:00,424.2604064941406,424.3013000488281,423.81939697265625,423.92999267578125,51130
2024-11-08 15:46:00+00:00,424.75189208984375,424.75189208984375,424.2449951171875,424.30999755859375,30202
